	gene_matrix_background
533	100042653
534	100042663
535	100042669
536	100042678
537	100042679
538	100042698
539	100042715
540	100042757
541	100042781
542	100042782
543	100042784
544	100042794
545	100042802
546	100042807
547	100042810
548	100042814
549	100042827
550	100042848
551	100042849
552	100042855
553	100042874
554	100042875
555	100042880
556	100042881
557	100042889
558	100042891
559	100042894
560	100042918
561	100042921
562	100042926
563	100042940
564	100042948
565	100042951
566	100042960
567	100042966
568	100042968
569	100042971
570	100042982
571	100042988
572	100042996
573	100043002
574	100043013
575	100043016
576	100043029
577	100043033
578	100043034
579	100043039
580	100043040
581	100043051
582	100043057
583	100043058
584	100043065
585	100043067
586	100043070
587	100043072
588	100043074
589	100043088
590	100043089
591	100043092
592	100043101
593	100043102
594	100043103
595	100043108
596	100043123
597	100043125
598	100043132
599	100043133
600	100043143
601	100043147
602	100043150
603	100043169
604	100043172
605	100043176
606	100043180
607	100043189
608	100043194
609	100043207
610	100043213
611	100043216
612	100043224
613	100043227
614	100043229
615	100043231
616	100043232
617	100043235
618	100043239
619	100043245
620	100043247
621	100043251
622	100043254
623	100043255
624	100043272
625	100043277
626	100043292
627	100043300
628	100043305
629	100043309
630	100043314
631	100043315
632	100043324
633	100043326
634	100043332
635	100043335
636	100043348
637	100043381
638	100043387
639	100043403
640	100043407
641	100043416
642	100043434
643	100043450
644	100043462
645	100043467
646	100043468
647	100043488
648	100043489
649	100043497
650	100043513
651	100043515
652	100043536
653	100043566
654	100043569
655	100043580
656	100043582
657	100043595
658	100043596
659	100043597
660	100043600
661	100043604
662	100043606
663	100043609
664	100043614
665	100043617
666	100043627
667	100043629
668	100043636
669	100043638
670	100043644
671	100043645
672	100043665
673	100043667
674	100043682
675	100043684
676	100043686
677	100043688
678	100043706
679	100043711
680	100043721
681	100043726
682	100043729
683	100043757
684	100043765
685	100043766
686	100043767
687	100043772
688	100043793
689	100043812
690	100043813
691	100043817
692	100043820
693	100043827
694	100043831
695	100043836
696	100043842
697	100043856
698	100043860
699	100043861
700	100043868
701	100043876
702	100043885
703	100043899
704	100043902
705	100043904
706	100043910
707	100043911
708	100043914
709	100043915
710	100043920
711	100043946
712	100044193
713	100044509
714	100044526
715	100045066
716	100045125
717	100045469
718	100045653
719	100045778
720	100045792
721	100046078
722	100046950
723	100047123
724	100047133
725	100048534
726	100048644
727	100048658
728	100048701
729	100048884
730	100048895
731	100048985
732	100049161
733	100049166
734	100049545
735	100049546
736	100049547
737	100049548
738	100049549
739	100049710
740	100049711
741	100049712
742	100049713
743	100049714
744	100049715
745	100061
746	100066
747	100072
748	100073351
749	100087
750	100088
751	100090
752	100093700
753	100101457
754	100101806
755	100101919
756	100102
757	100113364
758	100113398
759	100121
760	100124431
761	100124432
762	100124433
763	100124435
764	100124437
765	100124438
766	100124439
767	100124440
768	100124441
769	100124442
770	100124443
771	100124445
772	100124446
773	100124447
774	100124448
775	100124449
776	100124450
777	100124451
778	100124452
779	100124453
780	100124456
781	100124457
782	100124458
783	100124459
784	100124460
785	100124461
786	100124462
787	100124463
788	100124464
789	100124465
790	100124466
791	100124467
792	100124468
793	100124469
794	100124470
795	100124471
796	100124473
797	100124474
798	100124475
799	100124476
800	100124478
801	100124479
802	100124480
803	100124481
804	100124482
805	100124483
806	100124484
807	100124485
808	100124486
809	100124487
810	100124488
811	100124489
812	100124491
813	100124492
814	100124493
815	100124494
816	100124495
817	100124496
818	100124623
819	100124624
820	100124625
821	100124626
822	100124627
823	100124640
824	100124641
825	100124642
826	100124643
827	100124649
828	100124668
829	100125339
830	100125586
831	100125594
832	100125929
833	100125931
834	100125933
835	100126034
836	100126203
837	100126224
838	100126226
839	100126227
840	100126229
841	100126242
842	100126243
843	100126244
844	100126269
845	100126692
846	100126765
847	100126766
848	100126768
849	100126773
850	100126774
851	100126775
852	100126776
853	100126777
854	100126778
855	100126779
856	100126795
857	100126824
858	100127111
859	100127433
860	100129
861	100134861
862	100135654
863	100135657
864	100141474
865	100151693
866	100151772
867	100163
868	100165
869	100169
870	100169864
871	100169865
872	100169868
873	100169871
874	100169874
875	100169878
876	100169889
877	100170401
878	100174921
879	100177
880	100182
881	100188919
882	100189605
883	100190765
884	100191037
885	100196896
886	100198
887	100201
888	100210
889	100213
890	100216455
891	100216474
892	100216530
893	100216531
894	100216532
895	100216533
896	100216534
897	100216535
898	100216536
899	100216537
900	100216538
901	100216539
902	100216540
903	100217413
904	100217414
905	100217415
906	100217416
907	100217417
908	100217418
909	100217419
910	100217420
911	100217421
912	100217422
913	100217423
914	100217424
915	100217425
916	100217426
917	100217427
918	100217428
919	100217429
920	100217430
921	100217431
922	100217432
923	100217433
924	100217434
925	100217435
926	100217436
927	100217437
928	100217438
929	100217439
930	100217440
931	100217441
932	100217442
933	100217443
934	100217444
935	100217445
936	100217446
937	100217447
938	100217448
939	100217449
940	100217450
941	100217451
942	100217452
943	100217453
944	100217454
945	100217455
946	100217456
947	100217457
948	100217458
949	100217459
950	100217460
951	100217461
952	100217462
953	100217463
954	100217464
955	100217465
956	100217466
957	100217467
958	100217468
959	100217469
960	100226
961	100233207
962	100233208
963	100270707
964	100270744
965	100271704
966	100271841
967	100271882
968	100271928
969	100272219
970	100272221
971	100273
972	100286843
973	100294660
974	100302498
975	100302499
976	100302529
977	100302565
978	100302567
979	100302592
980	100302593
981	100302594
982	100302600
983	100302601
984	100302634
985	100302648
986	100302688
987	100302730
988	100302731
989	100303644
990	100303645
991	100303647
992	100303732
993	100303736
994	100303738
995	100303740
996	100303744
997	100303746
998	100303747
999	100303751
1000	100306943
1001	100306944
1002	100306945
1003	100306952
1004	100306954
1005	100306955
1006	100306957
1007	100310809
1008	100310813
1009	100310872
1010	100312470
1011	100312471
1012	100312473
1013	100312474
1014	100312475
1015	100312476
1016	100312477
1017	100312484
1018	100312485
1019	100312956
1020	100312987
1021	100313519
1022	100313531
1023	100313943
1024	100316663
1025	100316664
1026	100316665
1027	100316667
1028	100316668
1029	100316669
1030	100316670
1031	100316671
1032	100316672
1033	100316673
1034	100316674
1035	100316675
1036	100316676
1037	100316677
1038	100316678
1039	100316679
1040	100316680
1041	100316681
1042	100316682
1043	100316683
1044	100316684
1045	100316685
1046	100316686
1047	100316687
1048	100316688
1049	100316689
1050	100316690
1051	100316693
1052	100316694
1053	100316695
1054	100316697
1055	100316698
1056	100316699
1057	100316700
1058	100316701
1059	100316702
1060	100316703
1061	100316704
1062	100316705
1063	100316706
1064	100316708
1065	100316709
1066	100316710
1067	100316711
1068	100316712
1069	100316713
1070	100316714
1071	100316715
1072	100316716
1073	100316717
1074	100316725
1075	100316727
1076	100316735
1077	100316736
1078	100316737
1079	100316739
1080	100316749
1081	100316751
1082	100316752
1083	100316753
1084	100316756
1085	100316769
1086	100316770
1087	100316772
1088	100316773
1089	100316774
1090	100316775
1091	100316776
1092	100316777
1093	100316778
1094	100316779
1095	100316783
1096	100316784
1097	100316802
1098	100316803
1099	100316804
1100	100316805
1101	100316806
1102	100316807
1103	100316808
