gene_id,CRV01,CRV02,CRV03,CRV04,CRV05,CRV06,CRV07,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,SAL01,SAL02,SAL03,SAL04,SAL05,SAL06,SAL07,SAL08
L3hypdh|L3hypdh,246,407,69,349,162,444,428,146,330,104,128,66,583,616,156,302,198,263,190,502,162,444,418
Jkamp|Jkamp,6540,6300,5664,6302,7126,6265,5700,5854,5383,6597,5302,5650,7476,7058,8615,6217,4654,5508,3969,4878,4846,6822,5960
Lrrc9|Lrrc9,165,100,81,59,78,304,128,66,51,134,41,127,0,0,75,217,103,93,132,182,152,119,123
Pcnx4|Pcnx4,686,1147,972,996,707,1282,1398,784,836,1609,575,882,619,339,1388,1149,872,1281,691,945,710,1068,900
Rtn1|Rtn1,5777,3850,5646,8638,9082,9064,7015,8360,6157,5295,3671,5269,5948,6417,8512,7187,6399,7887,6166,6175,3801,6874,8340
Ppm1a|Ppm1a,547,933,948,690,621,577,730,746,593,936,900,1161,313,630,836,858,534,565,607,542,525,729,844
Dhrs7|Dhrs7,7493,9395,8081,7612,9219,9911,9976,7717,5697,9644,7315,10528,9950,8307,8183,7676,6618,7599,6200,6762,8693,9279,8592
Six4|Six4,177,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0
Mnat1|Mnat1,807,1410,1306,1285,1251,1225,1269,934,629,1173,620,1183,1559,560,1001,837,702,1105,782,473,855,1183,1171
Trmt5|Trmt5,500,692,549,892,101,830,711,596,706,619,182,470,283,1307,1044,572,385,452,412,872,570,871,726
Slc38a6|Slc38a6,181,156,274,218,488,113,230,274,208,66,133,131,271,184,144,212,119,242,185,253,325,162,280
Prkch|Prkch,5595,5160,5578,6012,6724,5558,6770,4173,4644,5666,4483,6552,7072,6180,4573,5440,4163,6049,4060,4946,5389,4975,5913
Gm34189|Gm34189,94,52,87,59,61,60,55,9,23,33,69,8,76,0,54,49,31,89,38,89,70,0,77
1700086L19Rik|1700086L19Rik,6,26,0,30,0,117,126,43,0,0,80,42,0,0,0,9,0,0,0,77,21,0,71
Gm34552|Gm34552,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dbpht2|Dbpht2,503,230,139,119,314,308,153,205,137,112,179,114,0,0,17,82,105,35,67,294,13,152,291
Snapc1|Snapc1,2828,3987,3307,3435,2943,3791,3910,2799,2048,3955,2672,3243,3453,2443,3498,2905,2365,2272,1762,3086,2757,3688,2598
Syt16|Syt16,85,0,26,68,153,119,0,0,35,50,0,99,0,0,0,0,0,3,25,75,0,0,212
Gm40889|Gm40889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoj|Rhoj,396,346,199,81,632,583,1019,222,62,98,502,319,2641,581,578,327,146,367,226,741,127,566,892
Hif1a|Hif1a,18341,19923,17408,19359,18063,16899,19250,13566,11212,19941,11157,21415,17229,14840,15457,16165,11976,15074,10160,12996,16256,18488,12682
Gm15283|Gm15283,0,33,7,32,0,33,9,101,30,15,7,3,38,0,28,35,46,26,25,36,19,28,14
Ppp2r5e|Ppp2r5e,1098,818,1180,1878,2778,1934,1218,1728,1170,1309,546,1991,1143,535,2148,1818,919,1847,1326,1273,879,1894,1485
Wdr89|Wdr89,499,805,491,387,537,767,394,565,390,547,536,484,0,1565,568,771,478,487,251,386,828,808,721
Rplp2-ps1|Rplp2-ps1,23,37,14,2,2,4,3,5,2,5,8,3,68,1,3,4,20,5,4,15,4,3,4
Sgpp1|Sgpp1,829,909,581,595,923,554,538,778,596,407,526,1178,45,547,1047,911,529,693,423,615,559,613,438
Gm40447|Gm40447,0,0,4,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Syne2|Syne2,268,365,376,48,72,274,203,493,53,55,259,71,876,402,1976,43,130,290,165,16,61,375,380
Mir5101|Mir5101,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1
Akap5|Akap5,393,254,467,457,980,253,355,380,213,222,253,522,677,624,262,321,316,386,202,102,264,446,411
Gm40444|Gm40444,0,0,26,25,0,34,21,0,0,0,0,18,0,0,0,9,5,8,4,36,3,0,0
Gm34868|Gm34868,0,0,0,7,0,15,0,0,0,0,0,55,0,105,0,0,0,0,0,0,0,0,0
Gm40443|Gm40443,388,575,323,388,151,165,230,389,254,288,243,434,16,315,74,248,225,282,191,457,365,655,485
Mthfd1|Mthfd1,1269,1821,1498,1832,2367,2181,2125,1644,1224,2274,1109,2239,3124,2677,4649,1753,1182,1515,1505,1762,1899,3144,1909
Ppp1r36|Ppp1r36,736,164,15,125,156,247,0,0,30,0,76,0,0,246,1393,196,29,102,35,89,0,0,293
Gm10451|Gm10451,186,156,89,42,63,29,69,45,24,184,32,27,183,0,10,27,32,38,39,5,48,32,69
Zbtb25|Zbtb25,323,503,617,715,727,762,536,250,378,513,212,267,0,1076,393,542,335,490,227,461,424,700,285
Zbtb1|Zbtb1,7953,9517,6850,7324,6925,8228,9519,6633,5035,7742,6160,7149,4070,7280,7501,7322,4931,5878,4409,6673,5576,8922,6790
Hspa2|Hspa2,1789,935,707,758,1122,1136,529,769,616,1005,836,861,1494,1083,1848,741,583,577,490,1292,367,909,688
4930426I24Rik|4930426I24Rik,88,7,27,47,0,30,12,51,39,25,16,69,0,63,16,15,32,40,18,0,14,17,40
Churc1|Churc1,967,1909,1465,1513,1039,1366,1526,992,694,849,776,779,907,655,2101,1400,946,1119,704,1023,1069,1437,1258
Plekhg3|Plekhg3,30,14,88,106,35,180,185,114,143,185,138,317,0,0,377,157,19,77,57,28,47,59,75
AI463170|AI463170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Sptb|Sptb,230,168,55,49,82,31,182,175,49,186,60,318,172,0,274,193,19,49,40,16,169,113,59
LOC108168008|LOC108168008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
LOC108168009|LOC108168009,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fntb|Fntb,757,1174,721,1272,633,1369,1288,911,754,622,708,651,1693,1559,1185,570,500,612,747,709,786,702,1303
