samplename,condition
SAL01,Saline
SAL02,Saline
SAL03,Saline
SAL04,Saline
SAL07,Saline
MN01,Maintenance
MN02,Maintenance
MN03,Maintenance
MN04,Maintenance
MN05,Maintenance
ABS01,Abstinence
ABS02,Abstinence
ABS03,Abstinence
ABS04,Abstinence
ABS05,Abstinence
ABS06,Abstinence
ABS07,Abstinence
