samplename,condition
ABS01,Abstinence
ABS02,Abstinence
ABS03,Abstinence
ABS04,Abstinence
ABS05,Abstinence
ABS06,Abstinence
ABS07,Abstinence
MN01,Maintenance
MN02,Maintenance
MN03,Maintenance
MN04,Maintenance
MN05,Maintenance
MN06,Maintenance
MN07,Maintenance
MN08,Maintenance
SAL01,Saline
SAL02,Saline
SAL03,Saline
SAL04,Saline
SAL05,Saline
SAL06,Saline
SAL07,Saline
SAL08,Saline
